title,soldPrice,link
Canakit Raspberry PI 4 Starter Kit 4GB,147.5,https://www.ebay.com/itm/195499371600?hash=item2d84abac50%3Ag%3AzXcAAOSwncxjc7cG&amdata=enc%3AAQAHAAAAoDF0MGGnB5sUm8xgZNTgwSi0hq2pNRd29UJbhal%2BiQXgIx%2Bu2amcYGock7GtNQ%2F91GbFn%2Fe4rjP9V7C1v8kQVEryzQn1Sh80xiahxhfQIlFFdpo2%2BihCHDhqrQPsvs3%2FtGAPyGokdHiO%2F1krYn9LRFQp0oJdOru%2FvQ7RXGL%2BMugp%2BfhcLSZdod3qGzHBbxQvjHicDrA5UWk8O2wgP0IPx4k%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
LABISTS Raspberry Pi 4 8GB RAM KIT,127.5,https://www.ebay.com/itm/225276138060?epid=28052494646&hash=item347381124c%3Ag%3ArYMAAOSwQZJjdsEt&amdata=enc%3AAQAHAAAAoAvil8zFmCE6xwnDh6%2Fk6ZgfXiRKPv6g0HSnI8YtZcXcfLTW6GolXJIh3sxoD6rH4mpWfaj1XIFc6BR5o1%2Bm8LzRzdOcSssoXj21TeM9eJRPFViZpkQNBSbE8iex3fMevN3NjqqxqDvEzSZG4A91Y%2BlGA%2FcWkZKqbjq18whl4DLH%2B%2F36qE6taFR17aRmUvCF%2BhKBuKjj8P%2BETrfaHeoTQFo%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
"Raspberry Pi 400 (Quad Core Cortex-A72, 2.4 GHz, 4GB) Computer Kit -...",103.19,https://www.ebay.com/itm/234800869326?epid=10054551826&hash=item36ab38efce%3Ag%3ACr0AAOSwc7hjhpjA&amdata=enc%3AAQAHAAAAoNGmRzqD%2Ftraf%2FW%2B4kgdCfEHj4cuL%2FAuYB%2FxMJQIAoa4HTy%2FPN4xeEr0mDil5XWKrl7zZWDhoS5ksSZgJqLj%2BcHgDM6VuiC8kzXs%2FUwVWdF%2B4P4bIb%2FEnrKsFWv0Q5MOu2fVTSyw6MD3H354IBlVM%2FoZH0WnHExMk8UmQcAVQ4PxVGReDwK8jkvsBK2Eaa%2BXR0%2F8UsKY4e4jZK8XWQCLdCo%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
Raspberry Pi PI4B2GB 2GB RAM Mini PC Cana Kit,74.0,https://www.ebay.com/itm/134351598103?epid=14034410732&hash=item1f47fab217%3Ag%3AawYAAOSwW6Fji8UG&amdata=enc%3AAQAHAAAAoCnRYThfnm6ieHTMUPnuyEXlYjy3f52GJG%2FIfz99iA6Jx%2FFgAjkLMbMT0Qk%2Bc9ivTjxluisC224SyxNfdR6UHPRKx7BQ5sGjezGEukERkCeiy1q7w%2BOW5qrEX1mVNwo4AH%2F2KGa14e1DXq%2FKtb%2Bwmpcf%2F6KlmWeXPQnExcwEenRb45NZrZcZBPfJW1%2BkwRI3cD1b6mXmFLoWBvdaGtPmaxA%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
"Raspberry Pi 4 Model B 4GB Kit with Micro SD Card, Power Supply, 3 Heatsinks, Case",165.96,https://www.ebay.com/itm/266010467055?hash=item3def759aef%3Ag%3A-x8AAOSw%7EBNjgk%7E-&amdata=enc%3AAQAHAAAAoHuXMhBfsTc1dYBpZ4oWpCdy9c%2FXkS%2BHJoSQ1kca814zOU%2BxqSyGCRQBs92GHPqhgQmqICOudwLuLK767ANhnFDmqzenuYlZYdVakq2vikUI7aVjJ1dpSLLQg1ps9GSyspLctriVU2MzvCrG3RkaL5HyvrA2NHgBkAjhUpeY11oNtl8y%2FluFU%2Fo%2F7c6Lhn%2FWT2IohHv0eb3NvttfMYw%2FcXQ%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
" Raspberry Pi 3 Model B+ Complete Starter Kit (32 GB EVO+, Premium Black Case) 4",84.38,https://www.ebay.com/itm/255851079904?hash=item3b91e9a8e0%3Ag%3A-VAAAOSw8R1jBWEX&amdata=enc%3AAQAHAAAAoF30t3TzrIaJMN6GQV9mwqzJI2x2Y86AnX47Xotrcg7adX5K7BVCS8t8ieApHPMC0UDVOh48VqYWaARsJa3TQiDDnLI4Jx7obD4yoshUiCaofbHQRfwg1qx6Pp8l6FZYajYzvOLRXO45rOA%2BrZfRKjCOtLs%2BVlUvQMYlT5SIwlXZGcbjCcbHKjv8FZBFdO249BL5hTrE%2BMdEGPFDl%2BeeCn4%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
CanaKit Raspberry Pi 4 Model B 8GB Basic Starter Kit with Fan (8GB RAM),157.5,https://www.ebay.com/itm/185675663641?hash=item2b3b21c919%3Ag%3ABWUAAOSwPsBjhRuK&amdata=enc%3AAQAHAAAAoBY1UER7z1OgXA4sJ2mdEiCWHpqIiGfm9xvHSyILueSI9%2Fi%2BPadLzVqSCjpZaE%2FwvbujufVXE5bfz3KtspQtl%2Bbw59DgcZcceLE7IkEjc%2F6f%2F7v4EWwmw%2Baja5HlZH%2FCinE7xkF8syCvbPn7C19WyNCqYD6yQib4QFDZRhkwTaJl91XdN6o7BTvOfukkL3tq%2F1DbKR1mGV3tLnKruwCw26k%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
"Raspberry Pi 400 (Quad Core Cortex-A72, 2.4 GHz, 4GB) Computer Kit -...",105.19,https://www.ebay.com/itm/175509093064?epid=10054551826&hash=item28dd283ac8%3Ag%3AyCMAAOSwyytjhPT1&amdata=enc%3AAQAHAAAAoAojnR%2FzYiOu1sqPFAIkBmCgXBgfLNE6uIt8a3lO0nhJMPkmkpX24o%2BdnsNKzVpuyNNVMBk9HLe%2BrM72Ps3BIUngEhtnmAuIsMmfVSlwkcZ%2BTugctMxnrAoTOg9yGMf6IKeaRFfgoE0lRrM22tz792gsTFNNo1H2%2BnrMB%2BCfeH5dcFCMBcEj9sS91UGuCA4Snu%2BuraGliCCp5y6%2FswDZ4N4%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
CanaKit Raspberry Pi 4 4GB Starter PRO Kit - Open Box,140.0,https://www.ebay.com/itm/364069440237?hash=item54c43acaed%3Ag%3AOMMAAOSw5KljjRRu&amdata=enc%3AAQAHAAAAoGvGrjfCwPyNIkwzZEESq9wQ0%2Fji148ge8aoQf6ypy%2BgoKmQVJCBCX4dlbzKlLbjr0cNBz%2FDp88yHT81yNLAfBn0C%2FI90vluYYkUlJI42qTGj8Cc1iwyHhFyD2VgssMmmXPmnQVcmwzwxv4%2Fd5nq4r888ANwJhzTpTCqptBaIl4KKurTY7DkZgQnzzZ0oSs%2BjSPTS16d%2Fq5%2BX4xNGt3Hlmo%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
"Raspberry Pi 4 Model B, 8GB Starter Kit with Power Cord, Micro USB, HDMI, Case",132.5,https://www.ebay.com/itm/195494291011?hash=item2d845e2643%3Ag%3AKnYAAOSwpdVjg%7EhC&amdata=enc%3AAQAHAAAAoELof6s%2FMnToLZXIF2BRN6WJubdQyPjqRjgY8lSOuWH7Od43ZVEYEOwDQ%2FafVKoPJ1msXoPTeorw4gheA9sLrr24HI4HwzNIGqhnGVTPwkWQxIwmYXbv2JJH07XwIPYRWEg6IaeG3C2FoFX3ahFyl6%2B8EE4aKVv3TQiKUbqPaXqYF7ppgZz%2FX7jUp2Y%2F%2FlVzoa4ubQU2uYxSoOdcUlWLGqQ%3D%7Ctkp%3ABk9SR97CwZ6iYQ&LH_Auction=1
